Слово,Частота,Частота (в %)
военного,22,"0,010%"
кабинете,22,"0,010%"
духа,22,"0,010%"
etre,22,"0,010%"
воли,22,"0,010%"
лицу,22,"0,010%"
мужчины,22,"0,010%"
рассказывал,22,"0,010%"
удовольствие,22,"0,010%"
cette,22,"0,010%"
ради,22,"0,010%"
fait,22,"0,010%"
княгини,22,"0,010%"
известие,22,"0,010%"
другу,22,"0,010%"
avec,22,"0,010%"
пойду,22,"0,010%"
заметила,22,"0,010%"
частью,21,"0,009%"
3,21,"0,009%"
faire,21,"0,009%"
дурак,21,"0,009%"
андреем,21,"0,009%"
вообще,21,"0,009%"
горе,21,"0,009%"
французские,21,"0,009%"
бывало,21,"0,009%"
вопросы,21,"0,009%"
необходимо,21,"0,009%"
какого,21,"0,009%"
диван,21,"0,009%"
сердца,21,"0,009%"
правду,21,"0,009%"
очки,21,"0,009%"
службы,21,"0,009%"
почтительно,21,"0,009%"
самому,21,"0,009%"
услыхал,21,"0,009%"
спать,21,"0,009%"
масон,21,"0,009%"
дети,21,"0,009%"
взглянула,21,"0,009%"
делали,21,"0,009%"
остановились,21,"0,009%"
тон,21,"0,009%"
делает,21,"0,009%"
русского,21,"0,009%"
величество,21,"0,009%"
возможность,21,"0,009%"
войны,21,"0,009%"
сильнее,21,"0,009%"
lui,21,"0,009%"
верхом,21,"0,009%"
молчал,21,"0,009%"
par,21,"0,009%"
братьев,21,"0,009%"
зале,21,"0,009%"
безухого,21,"0,009%"
везде,21,"0,009%"
навсегда,21,"0,009%"
неприятель,21,"0,009%"
взглянув,21,"0,009%"
третий,21,"0,009%"
тело,21,"0,009%"
старая,21,"0,009%"
деревни,21,"0,009%"
продолжая,21,"0,009%"
робко,21,"0,009%"
первой,21,"0,009%"
первую,21,"0,009%"
великий,21,"0,009%"
трех,21,"0,009%"
маленький,21,"0,009%"
довольно,20,"0,009%"
главнокомандующий,20,"0,009%"
скажет,20,"0,009%"
слушая,20,"0,009%"
dieu,20,"0,009%"
empereur,20,"0,009%"
командиру,20,"0,009%"
толпы,20,"0,009%"
гору,20,"0,009%"
ласково,20,"0,009%"
можете,20,"0,009%"
узнать,20,"0,009%"
моих,20,"0,009%"
спросить,20,"0,009%"
писать,20,"0,009%"
сели,20,"0,009%"
приехали,20,"0,009%"
слезами,20,"0,009%"
александр,20,"0,009%"
марью,20,"0,009%"
большое,20,"0,009%"
превосходительство,20,"0,009%"
десять,20,"0,009%"
утро,20,"0,009%"
платок,20,"0,009%"
нами,20,"0,009%"
рук,20,"0,009%"
сих,20,"0,009%"
отъезда,20,"0,009%"
небо,20,"0,009%"
войне,20,"0,009%"
эскадрон,20,"0,009%"
цели,20,"0,009%"
казался,20,"0,009%"
духе,20,"0,009%"
передать,20,"0,009%"
слышать,20,"0,009%"
тихон,20,"0,009%"
называл,20,"0,009%"
неподвижно,20,"0,009%"
двумя,20,"0,009%"
можем,20,"0,009%"
александра,20,"0,009%"
помнишь,20,"0,009%"
чистое,20,"0,009%"
гораздо,20,"0,009%"
делалось,20,"0,009%"
помню,20,"0,009%"
фигура,20,"0,009%"
встала,20,"0,009%"
речь,20,"0,009%"
судьба,20,"0,009%"
грудь,20,"0,009%"
кресло,20,"0,009%"
вышли,20,"0,009%"
движением,20,"0,009%"
верить,20,"0,009%"
редко,20,"0,009%"
холодно,19,"0,008%"
сказав,19,"0,008%"
рода,19,"0,008%"
увидала,19,"0,008%"
образом,19,"0,008%"
капитан,19,"0,008%"
показался,19,"0,008%"
ротмистр,19,"0,008%"
опустив,19,"0,008%"
guerre,19,"0,008%"
просила,19,"0,008%"
дел,19,"0,008%"
дни,19,"0,008%"
ждал,19,"0,008%"
обедать,19,"0,008%"
дама,19,"0,008%"
приехать,19,"0,008%"
pauvre,19,"0,008%"
упал,19,"0,008%"
посмотрите,19,"0,008%"
части,19,"0,008%"
показать,19,"0,008%"
jeune,19,"0,008%"
оттуда,19,"0,008%"
служить,19,"0,008%"
меньше,19,"0,008%"
ваша,19,"0,008%"
прошли,19,"0,008%"
мосту,19,"0,008%"
приезд,19,"0,008%"
гостья,19,"0,008%"
чаю,19,"0,008%"
шаг,19,"0,008%"
понимая,19,"0,008%"
кабинета,19,"0,008%"
немец,19,"0,008%"
свиты,19,"0,008%"
начинал,19,"0,008%"
оглядывался,19,"0,008%"
остановил,19,"0,008%"
помощи,19,"0,008%"
презрительно,19,"0,008%"
образ,19,"0,008%"
лицах,19,"0,008%"
вставая,19,"0,008%"
вашего,19,"0,008%"
словами,19,"0,008%"
побежал,19,"0,008%"
колонны,19,"0,008%"
впрочем,19,"0,008%"
желала,19,"0,008%"
ростовым,19,"0,008%"
пожал,19,"0,008%"
линии,19,"0,008%"
стыдно,19,"0,008%"
sont,19,"0,008%"
жестом,19,"0,008%"
движения,19,"0,008%"
первая,19,"0,008%"
поцеловала,19,"0,008%"
такою,19,"0,008%"
вспоминал,18,"0,008%"
имела,18,"0,008%"
шагом,18,"0,008%"
ii,18,"0,008%"
значительно,18,"0,008%"
горя,18,"0,008%"
мира,18,"0,008%"
волосы,18,"0,008%"
скажи,18,"0,008%"
отворилась,18,"0,008%"
русски,18,"0,008%"
смеха,18,"0,008%"
происходило,18,"0,008%"
охотник,18,"0,008%"
рассказать,18,"0,008%"
говоришь,18,"0,008%"
угол,18,"0,008%"
воображении,18,"0,008%"
направлению,18,"0,008%"
нехорошо,18,"0,008%"
дай,18,"0,008%"
направо,18,"0,008%"
вздохнул,18,"0,008%"
умел,18,"0,008%"
бросил,18,"0,008%"
ждать,18,"0,008%"
лоб,18,"0,008%"
большим,18,"0,008%"
одинаково,18,"0,008%"
посмотрела,18,"0,008%"
первого,18,"0,008%"
диване,18,"0,008%"
смех,18,"0,008%"
наша,18,"0,008%"
позвольте,18,"0,008%"
блестящими,18,"0,008%"
ура,18,"0,008%"
поскакал,18,"0,008%"
сестры,18,"0,008%"
месяца,18,"0,008%"
леса,18,"0,008%"
влюблена,18,"0,008%"
словом,18,"0,008%"
новой,18,"0,008%"
думаете,18,"0,008%"
нежно,18,"0,008%"
поднимая,18,"0,008%"
кругом,18,"0,008%"
николаю,18,"0,008%"
книгу,18,"0,008%"
понимать,18,"0,008%"
вследствие,18,"0,008%"
вошли,18,"0,008%"
крыльцо,18,"0,008%"
другая,18,"0,008%"
general,18,"0,008%"
долоховым,18,"0,008%"
нарочно,18,"0,008%"
маленькую,18,"0,008%"
будем,18,"0,008%"
часа,17,"0,007%"
курагин,17,"0,007%"
тумане,17,"0,007%"
тумана,17,"0,007%"
дорогой,17,"0,007%"
особенным,17,"0,007%"
мере,17,"0,007%"
показывая,17,"0,007%"
видишь,17,"0,007%"
остановиться,17,"0,007%"
bonne,17,"0,007%"
карты,17,"0,007%"
лакей,17,"0,007%"
николаем,17,"0,007%"
приказания,17,"0,007%"
обедом,17,"0,007%"
каждым,17,"0,007%"
губы,17,"0,007%"
убит,17,"0,007%"
черными,17,"0,007%"
понимаешь,17,"0,007%"
сделаю,17,"0,007%"
ответ,17,"0,007%"
цыпочках,17,"0,007%"
кверху,17,"0,007%"
мужа,17,"0,007%"
старика,17,"0,007%"
пойдем,17,"0,007%"
ожидал,17,"0,007%"
плечо,17,"0,007%"
плечи,17,"0,007%"
угодно,17,"0,007%"
отношения,17,"0,007%"
началось,17,"0,007%"
бывал,17,"0,007%"
приехала,17,"0,007%"
сидя,17,"0,007%"
половину,17,"0,007%"
живо,17,"0,007%"
слышно,17,"0,007%"
умереть,17,"0,007%"
говори,17,"0,007%"
сравнении,17,"0,007%"
муж,17,"0,007%"
секунду,17,"0,007%"
найти,17,"0,007%"
слез,17,"0,007%"
петь,17,"0,007%"
тысячи,17,"0,007%"
смеялся,17,"0,007%"
верю,17,"0,007%"
вещи,17,"0,007%"
ребенок,17,"0,007%"
послал,17,"0,007%"
ребенка,17,"0,007%"
болконскому,17,"0,007%"
шинели,17,"0,007%"
плакать,17,"0,007%"
возможности,17,"0,007%"
война,17,"0,007%"
внимательно,17,"0,007%"
забыл,17,"0,007%"
лесу,17,"0,007%"
судить,17,"0,007%"
месту,17,"0,007%"
новый,17,"0,007%"
разумеется,17,"0,007%"
плохо,17,"0,007%"
ядро,17,"0,007%"
заплакала,17,"0,007%"
курагина,17,"0,007%"
билибина,17,"0,007%"
веселый,17,"0,007%"
лысых,17,"0,007%"
анну,17,"0,007%"
думает,17,"0,007%"
совестно,17,"0,007%"
большого,17,"0,007%"
казалась,17,"0,007%"
этими,17,"0,007%"
разу,17,"0,007%"
непременно,17,"0,007%"
детей,17,"0,007%"
написал,17,"0,007%"
деревню,17,"0,007%"
хотели,17,"0,007%"
лежала,17,"0,007%"
покраснел,17,"0,007%"
будете,17,"0,007%"
шиншин,17,"0,007%"
медленно,17,"0,007%"
первые,17,"0,007%"
огромный,17,"0,007%"
багратиону,17,"0,007%"
рассказывать,17,"0,007%"
таком,17,"0,007%"
2,16,"0,007%"
старательно,16,"0,007%"
чаще,16,"0,007%"
нового,16,"0,007%"
suis,16,"0,007%"
взгляда,16,"0,007%"
виновата,16,"0,007%"
счастливым,16,"0,007%"
играть,16,"0,007%"
боялась,16,"0,007%"
неделю,16,"0,007%"
клуба,16,"0,007%"
улыбался,16,"0,007%"
история,16,"0,007%"
австрийский,16,"0,007%"
французского,16,"0,007%"
каждом,16,"0,007%"
спрашивать,16,"0,007%"
спрашивала,16,"0,007%"
велено,16,"0,007%"
пошли,16,"0,007%"
степени,16,"0,007%"
молчали,16,"0,007%"
видала,16,"0,007%"
работу,16,"0,007%"
совета,16,"0,007%"
благодарю,16,"0,007%"
русский,16,"0,007%"
бал,16,"0,007%"
отдал,16,"0,007%"
сани,16,"0,007%"
матерью,16,"0,007%"
дочерью,16,"0,007%"
держала,16,"0,007%"
старому,16,"0,007%"
кровати,16,"0,007%"
отношении,16,"0,007%"
дамы,16,"0,007%"
услыхав,16,"0,007%"
давая,16,"0,007%"
второй,16,"0,007%"
ритор,16,"0,007%"
половины,16,"0,007%"
оглядывая,16,"0,007%"
слушать,16,"0,007%"
силой,16,"0,007%"
большая,16,"0,007%"
голове,16,"0,007%"
обо,16,"0,007%"
наше,16,"0,007%"
снег,16,"0,007%"
ami,16,"0,007%"
делами,16,"0,007%"
разных,16,"0,007%"
проводил,16,"0,007%"
ха,16,"0,007%"
танцовать,16,"0,007%"
показал,16,"0,007%"
состояние,16,"0,007%"
пальцами,16,"0,007%"
императору,16,"0,007%"
вина,16,"0,007%"
мгновенно,16,"0,007%"
некоторые,16,"0,007%"
бутылку,16,"0,007%"
раненых,16,"0,007%"
закрыл,16,"0,007%"
слышала,16,"0,007%"
etes,16,"0,007%"
волосами,16,"0,007%"
молчания,16,"0,007%"
думаешь,16,"0,007%"
женою,16,"0,007%"
положения,16,"0,007%"
совет,16,"0,007%"
друбецкой,16,"0,007%"
взять,16,"0,007%"
кресле,16,"0,007%"
всякую,16,"0,007%"
участие,16,"0,007%"
подал,16,"0,007%"
1,15,"0,007%"
сидит,15,"0,007%"
nicolas,15,"0,007%"
нисколько,15,"0,007%"
москвы,15,"0,007%"
поняла,15,"0,007%"
толпа,15,"0,007%"
сознание,15,"0,007%"
решился,15,"0,007%"
1805,15,"0,007%"
готово,15,"0,007%"
поскорее,15,"0,007%"
несчастие,15,"0,007%"
желания,15,"0,007%"
поднялся,15,"0,007%"
землю,15,"0,007%"
стрелять,15,"0,007%"
телом,15,"0,007%"
николенька,15,"0,007%"
начинать,15,"0,007%"
сесть,15,"0,007%"
каких,15,"0,007%"
чорт,15,"0,007%"
молодости,15,"0,007%"
поговорить,15,"0,007%"
императоров,15,"0,007%"
поход,15,"0,007%"
денисову,15,"0,007%"
молодым,15,"0,007%"
говорило,15,"0,007%"
princesse,15,"0,007%"
телянин,15,"0,007%"
девушки,15,"0,007%"
писала,15,"0,007%"
ряды,15,"0,007%"
недавно,15,"0,007%"
министра,15,"0,007%"
минута,15,"0,007%"
voir,15,"0,007%"
молодежь,15,"0,007%"
вздор,15,"0,007%"
заговорила,15,"0,007%"
халате,15,"0,007%"
ждали,15,"0,007%"
кое,15,"0,007%"
слышны,15,"0,007%"
получить,15,"0,007%"
пишет,15,"0,007%"
больших,15,"0,007%"
счастливо,15,"0,007%"
убить,15,"0,007%"
постой,15,"0,007%"
михайловны,15,"0,007%"
спал,15,"0,007%"
ces,15,"0,007%"
благородие,15,"0,007%"
значение,15,"0,007%"
прокричал,15,"0,007%"
самая,15,"0,007%"
cela,15,"0,007%"
дней,15,"0,007%"
дому,15,"0,007%"
поля,15,"0,007%"
долг,15,"0,007%"
мнения,15,"0,007%"
сестру,15,"0,007%"
сестре,15,"0,007%"
идите,15,"0,007%"
снова,15,"0,007%"
лучших,15,"0,007%"
барышня,15,"0,007%"
ранен,15,"0,007%"
поднялась,15,"0,007%"
указал,15,"0,007%"
волк,15,"0,007%"
глядел,15,"0,007%"
ногой,15,"0,007%"
начиная,15,"0,007%"
знают,15,"0,007%"
фланга,15,"0,007%"
француз,15,"0,007%"
залы,15,"0,007%"
sur,15,"0,007%"
анне,15,"0,007%"
ложе,15,"0,007%"
офицеру,15,"0,007%"
быстрыми,15,"0,007%"
замолчал,15,"0,007%"
теми,15,"0,007%"
жениться,15,"0,007%"
наверное,15,"0,007%"
покраснела,15,"0,007%"
чувствую,15,"0,007%"
обнял,15,"0,007%"
готов,15,"0,007%"
затем,15,"0,007%"
едет,15,"0,007%"
едем,15,"0,007%"
побежала,15,"0,007%"
сомнения,15,"0,007%"
огонь,15,"0,007%"
улыбку,15,"0,007%"
прикажете,15,"0,007%"
делах,15,"0,007%"
сделалось,15,"0,007%"
часы,14,"0,006%"
п,14,"0,006%"
рукою,14,"0,006%"
разговаривая,14,"0,006%"
роты,14,"0,006%"
перонская,14,"0,006%"
шагах,14,"0,006%"
крепко,14,"0,006%"
живет,14,"0,006%"
выражения,14,"0,006%"
окну,14,"0,006%"
окно,14,"0,006%"
вступить,14,"0,006%"
вернувшись,14,"0,006%"
данила,14,"0,006%"
счастливой,14,"0,006%"
находил,14,"0,006%"
эскадрона,14,"0,006%"
можешь,14,"0,006%"
jamais,14,"0,006%"
французской,14,"0,006%"
открыл,14,"0,006%"
узнав,14,"0,006%"
жизнью,14,"0,006%"
убил,14,"0,006%"
отошел,14,"0,006%"
мною,14,"0,006%"
ордена,14,"0,006%"
барина,14,"0,006%"
опустил,14,"0,006%"
накануне,14,"0,006%"
вейротера,14,"0,006%"
пришла,14,"0,006%"
пришли,14,"0,006%"
пришло,14,"0,006%"
намерен,14,"0,006%"
почувствовала,14,"0,006%"
представлялось,14,"0,006%"
усами,14,"0,006%"
силами,14,"0,006%"
становилось,14,"0,006%"
зло,14,"0,006%"
жену,14,"0,006%"
неестественно,14,"0,006%"
приедет,14,"0,006%"
пари,14,"0,006%"
давал,14,"0,006%"
власти,14,"0,006%"
слушала,14,"0,006%"
оставил,14,"0,006%"
делается,14,"0,006%"
орудий,14,"0,006%"
посмотреть,14,"0,006%"
солнце,14,"0,006%"
бумаги,14,"0,006%"
фронте,14,"0,006%"
die,14,"0,006%"
прошло,14,"0,006%"
красивый,14,"0,006%"
стоя,14,"0,006%"
толстый,14,"0,006%"
плакала,14,"0,006%"
илагин,14,"0,006%"
верст,14,"0,006%"
борисом,14,"0,006%"
шею,14,"0,006%"
государем,14,"0,006%"
кампании,14,"0,006%"
атаковать,14,"0,006%"
наполеоном,14,"0,006%"
пути,14,"0,006%"
закрыв,14,"0,006%"
воды,14,"0,006%"
слышали,14,"0,006%"
безуховой,14,"0,006%"
забыть,14,"0,006%"
молодому,14,"0,006%"
генералы,14,"0,006%"
вашей,14,"0,006%"
неохотно,14,"0,006%"
офицером,14,"0,006%"
пройти,14,"0,006%"
обращался,14,"0,006%"
рысью,14,"0,006%"
grand,14,"0,006%"
начальника,14,"0,006%"
радость,14,"0,006%"
главной,14,"0,006%"
провел,14,"0,006%"
среди,14,"0,006%"
обещал,14,"0,006%"
встали,14,"0,006%"
voila,14,"0,006%"
горах,14,"0,006%"
прочь,14,"0,006%"
занят,14,"0,006%"
разговоры,14,"0,006%"
выразить,14,"0,006%"
улыбки,14,"0,006%"
мужем,14,"0,006%"
слуга,14,"0,006%"
ответа,14,"0,006%"
спуская,14,"0,006%"
носом,14,"0,006%"
рассказывали,14,"0,006%"
делом,14,"0,006%"
такую,14,"0,006%"
обмануть,14,"0,006%"
матушка,14,"0,006%"
задумался,14,"0,006%"
имели,13,"0,006%"
братство,13,"0,006%"
видели,13,"0,006%"
чувствовали,13,"0,006%"
зубы,13,"0,006%"
е,13,"0,006%"
блестящих,13,"0,006%"
ю,13,"0,006%"
20,13,"0,006%"
испуганным,13,"0,006%"
переносить,13,"0,006%"
учтиво,13,"0,006%"
злобно,13,"0,006%"
внизу,13,"0,006%"
французами,13,"0,006%"
дожидаясь,13,"0,006%"
добрый,13,"0,006%"
садись,13,"0,006%"
толпу,13,"0,006%"
ничем,13,"0,006%"
откуда,13,"0,006%"
показались,13,"0,006%"
общий,13,"0,006%"
французских,13,"0,006%"
французским,13,"0,006%"
дмитриевны,13,"0,006%"
вилларский,13,"0,006%"
каком,13,"0,006%"
повозки,13,"0,006%"
отлично,13,"0,006%"
будь,13,"0,006%"
солдатами,13,"0,006%"
записку,13,"0,006%"
двадцать,13,"0,006%"
гончих,13,"0,006%"
постели,13,"0,006%"
службе,13,"0,006%"
дым,13,"0,006%"
диммлер,13,"0,006%"
занимали,13,"0,006%"
страстно,13,"0,006%"
преимущественно,13,"0,006%"
притти,13,"0,006%"
дуэли,13,"0,006%"
смехом,13,"0,006%"
ловко,13,"0,006%"
ими,13,"0,006%"
папа,13,"0,006%"
ждала,13,"0,006%"
планы,13,"0,006%"
savez,13,"0,006%"
лес,13,"0,006%"
подумать,13,"0,006%"
высказать,13,"0,006%"
брату,13,"0,006%"
большом,13,"0,006%"
гусарский,13,"0,006%"
солнца,13,"0,006%"
старшая,13,"0,006%"
боится,13,"0,006%"
